Polarization of Light 'Brewsters' Data File Thu, Oct 25, 2018 10:06 AM
Sensor Position (Degrees)	Light Intensity (Volts)
219.63333	-0.00086
219.63333	0.07050
219.63333	0.06438
219.63333	0.02701
219.63333	0.00543
219.63333	0.00849
219.63333	0.00961
219.63333	0.00800
219.63333	0.00639
219.63333	0.00961
219.63333	0.00430
219.63333	0.00381
219.63333	0.00043
219.63333	-0.00198
219.63333	-0.00198
219.63333	0.00059
219.63333	-0.00070
219.63333	0.00043
219.63333	-0.00037
219.63333	0.00043
219.63333	0.00188
219.63333	0.00172
219.63333	0.04022
219.63333	0.06003
219.63333	0.06696
219.63333	0.06986
219.63333	0.06406
219.63333	0.07276
219.63333	0.07147
